frame,time_s,ball_x,ball_y,ball_w,ball_h,cross_x,cross_y
1223,20.383,1090.0,301.0,9.0,10.0,960,540
1224,20.4,1090.0,301.0,9.0,10.0,960,540
1225,20.417,1090.0,300.0,9.0,10.0,960,540
1226,20.433,1090.0,300.0,9.0,10.0,960,540
1227,20.45,1090.0,301.0,9.0,10.0,960,540
1228,20.467,1090.0,301.0,9.0,10.0,960,540
1229,20.483,1090.0,301.0,9.0,10.0,960,540
1230,20.5,1089.0,303.0,9.0,10.0,960,540
1231,20.517,1087.0,309.0,9.0,10.0,960,540
1232,20.533,,,,,960,540
1233,20.55,1072.0,339.0,9.0,10.0,960,540
1234,20.567,,,,,960,540
1235,20.583,1050.0,380.0,10.0,9.0,960,540
1236,20.6,,,,,960,540
1237,20.617,1073.0,398.0,9.0,10.0,960,540
1238,20.633,,,,,960,540
1239,20.65,1211.0,276.0,10.0,10.0,960,540
1240,20.667,,,,,960,540
1241,20.683,1187.0,310.0,10.0,10.0,960,540
1242,20.7,1180.0,320.0,10.0,10.0,960,540
1243,20.717,1174.0,330.0,10.0,10.0,960,540
1244,20.733,1167.0,340.0,10.0,10.0,960,540
1245,20.75,1163.0,344.0,10.0,10.0,960,540
1246,20.767,1161.0,347.0,10.0,10.0,960,540
1247,20.783,1160.0,350.0,10.0,10.0,960,540
1248,20.8,1159.0,351.0,10.0,10.0,960,540
1249,20.817,1159.0,351.0,10.0,10.0,960,540
1250,20.833,1158.0,351.0,10.0,10.0,960,540
1251,20.85,1158.0,352.0,10.0,10.0,960,540
1252,20.867,1158.0,354.0,10.0,10.0,960,540
1253,20.883,1159.0,356.0,10.0,10.0,960,540
1254,20.9,1159.0,358.0,10.0,10.0,960,540
1255,20.917,1158.0,360.0,10.0,10.0,960,540
1256,20.933,1158.0,360.0,10.0,10.0,960,540
1257,20.95,1159.0,360.0,10.0,10.0,960,540
1258,20.967,1161.0,359.0,10.0,10.0,960,540
1259,20.983,1162.0,358.0,10.0,10.0,960,540
1260,21.0,1162.0,358.0,10.0,10.0,960,540
1261,21.017,1161.0,358.0,10.0,10.0,960,540
1262,21.033,1158.0,361.0,10.0,10.0,960,540
1263,21.05,1153.0,364.0,10.0,10.0,960,540
1264,21.067,1147.0,368.0,10.0,10.0,960,540
1265,21.083,1139.0,373.0,10.0,10.0,960,540
1266,21.1,1133.0,377.0,10.0,10.0,960,540
1267,21.117,1127.0,380.0,10.0,10.0,960,540
1268,21.133,1121.0,383.0,10.0,10.0,960,540
1269,21.15,1118.0,385.0,10.0,10.0,960,540
1270,21.167,1117.0,386.0,10.0,10.0,960,540
1271,21.183,1116.0,387.0,10.0,10.0,960,540
1272,21.2,1116.0,387.0,10.0,10.0,960,540
1273,21.217,1116.0,387.0,10.0,10.0,960,540
1274,21.233,1115.0,388.0,10.0,10.0,960,540
1275,21.25,1114.0,388.0,10.0,10.0,960,540
1276,21.267,1114.0,389.0,10.0,10.0,960,540
1277,21.283,1114.0,389.0,10.0,10.0,960,540
1278,21.3,1114.0,389.0,10.0,10.0,960,540
1279,21.317,1115.0,390.0,10.0,10.0,960,540
1280,21.333,1115.0,390.0,10.0,10.0,960,540
1281,21.35,1115.0,390.0,10.0,10.0,960,540
1282,21.367,1115.0,392.0,10.0,10.0,960,540
1283,21.383,1112.0,396.0,10.0,10.0,960,540
1284,21.4,1107.0,402.0,10.0,10.0,960,540
1285,21.417,1098.0,412.0,10.0,10.0,960,540
1286,21.433,1088.0,422.0,10.0,10.0,960,540
1287,21.45,1076.0,433.0,10.0,10.0,960,540
1288,21.467,,,,,960,540
1289,21.483,,,,,960,540
1290,21.5,1343.0,457.0,10.0,9.0,960,540
1291,21.517,,,,,960,540
1292,21.533,1361.0,672.0,11.0,9.0,960,540
1293,21.55,1351.0,680.0,11.0,9.0,960,540
1294,21.567,1342.0,689.0,11.0,9.0,960,540
1295,21.583,1337.0,695.0,11.0,9.0,960,540
